image_timestamp,micro_proro,micro_total-phyto,clsfier_proro_avg_1min,clsfier_proro_std_1min,clsfier_proro_avg_5min,clsfier_proro_std_5min,clsfier_proro_avg_15min,clsfier_proro_std_15min,clsfier_proro_avg_H,clsfier_proro_std_H,clsfier_proro_avg_1H30min,clsfier_proro_std_1H30min
2017-03-20,9846,68103,1.4836065573770492,1.4328328386673574,5.027777777777778,3.9964297338104107,13.923076923076923,8.507567115506763,45.25,30.11125204969066,60.333333333333336,33.47967874530592
2017-03-27,127038,197130,40.447513812154696,9.261323181842782,197.86486486486487,43.8548972039101,563.1538461538462,125.91257415906065,1830.25,808.5488157804698,2440.3333333333335,1406.1821440418812
2017-04-03,145186,372352,14.670391061452515,4.221224022639118,70.97297297297297,14.251574567321262,202.0,49.06667363433618,656.5,238.47588976665963,875.3333333333334,422.5370463705585
2017-04-10,165212,451831,50.888888888888886,17.96629216953202,247.56756756756758,75.86066193501351,704.6153846153846,243.68881116372685,2290.0,865.6821010047511,3053.3333333333335,1481.9629625001503
2017-04-17,95748,747210,1.6603773584905661,1.3819600913479944,7.135135135135135,3.905382025554258,20.307692307692307,9.218581697892038,66.0,35.33411948810951,88.0,58.80476171195663
2017-04-24,46309,279111,15.653631284916202,5.121171489834626,75.72972972972973,18.584574610156338,215.53846153846155,59.631709923516084,700.5,285.0285073461951,934.0,484.5313887321096
2017-06-05,0,119797,6.7,2.9,32.5945945945946,8.145499369024687,92.76923076923077,22.35432791052688,301.5,153.49674263644815,402.0,260.0358949581128
2017-06-12,410,137845,10.384180790960452,3.7821134992206336,49.67567567567568,12.150084092811099,141.3846153846154,36.69319463530504,459.5,169.17520503903637,612.6666666666666,301.1149651249872
2017-06-19,1495,76801,5.651685393258427,2.3612086202226203,27.944444444444443,5.1096012262561175,77.38461538461539,21.402869906549597,251.5,120.83976994350824,335.3333333333333,205.28408500308922
2017-06-26,408,90805,9.238888888888889,2.9615384307050974,46.19444444444444,7.709371801920498,127.92307692307692,30.927860326551823,415.75,193.29042268048357,554.3333333333334,331.2182898868291
2017-07-03,4381,292878,6.2154696132596685,2.4343271218900435,30.405405405405407,6.536630504255229,86.53846153846153,23.391699331881302,281.25,109.2871790284661,375.0,191.69941749172494
2017-07-10,0,292251,3.1,1.8888562088676253,15.08108108108108,5.247281810502583,42.92307692307692,14.829604167452132,139.5,63.19216723613774,186.0,107.50813922675809
2017-07-17,272,254737,2.284090909090909,1.4337559038188952,11.166666666666666,3.905124837953327,33.5,8.864724097981467,134.0,15.937377450509228,201.0,33.0
2017-07-24,0,71639,2.691011235955056,1.835978779432224,13.305555555555555,4.987871091426818,36.84615384615385,13.478450914450608,119.75,59.85973187377304,159.66666666666666,99.94109376138637
2017-07-31,626,1110174,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2017-08-07,6253,304353,6.173913043478261,2.8638502599261613,28.4,12.2952565379228,85.2,17.151093259614676,213.0,4.0,426.0,0.0
2017-08-14,1087,128187,2.5865921787709496,1.7991429077193755,12.513513513513514,4.130451330758339,35.61538461538461,12.206797989635255,115.75,51.06552163642314,154.33333333333334,86.35327954912243
2017-08-21,0,1053851,6.822222222222222,2.9667707014634157,34.111111111111114,8.530265652297437,102.33333333333333,21.371060390683056,307.0,138.33835332256922,409.3333333333333,240.17956245738773
2017-08-28,1286,903237,12.056818181818182,4.590895026981158,58.94444444444444,16.58303089245892,163.23076923076923,57.55018391490207,530.5,186.31357975198694,707.3333333333334,304.79537762607595
2017-09-05,816,382514,8.0,2.8944391128123215,40.0,7.9021797274197985,110.76923076923077,28.15657826171859,360.0,177.16517716526576,480.0,295.98310762609407
2017-09-11,408,48394,3.566666666666667,1.961008810677697,17.35135135135135,4.933154334435832,49.38461538461539,14.694522587782163,160.5,68.98731767506257,214.0,120.1360340058996
2017-09-18,816,53151,1.822857142857143,1.286209428467056,8.86111111111111,2.28707452360941,24.53846153846154,7.12109957602038,79.75,43.671357890498435,106.33333333333333,69.73441681758649
2017-09-25,1903,61443,2.7401129943502824,1.6908614421681063,13.472222222222221,4.166574073045244,37.30769230769231,12.312499061364214,121.25,60.94003199867883,161.66666666666666,98.38812033077075
2017-10-02,0,53968,1.4689265536723164,1.179100241195136,7.027027027027027,2.7062139353965358,20.0,6.883648406522183,65.0,24.279621084357967,86.66666666666667,44.917207788948275
2017-10-09,136,78977,2.231638418079096,1.5395039645382977,10.972222222222221,3.295502921584631,32.916666666666664,5.908444991892725,131.66666666666666,5.312459150169742,197.5,16.5
2017-10-16,544,46489,1.893491124260355,1.3010756593000257,8.64864864864865,3.354836897120627,24.615384615384617,8.40822364427059,80.0,38.98076448711595,106.66666666666667,63.22622521988447
2017-10-23,2462,137027,4.3277777777777775,2.5513189520445554,21.63888888888889,7.364150315993231,59.92307692307692,19.578094267520754,194.75,70.49955673619516,259.6666666666667,130.64285497322675
2017-10-30,680,52063,1.8461538461538463,1.4058205294228512,8.666666666666666,2.9059326290271157,24.0,7.874007874011811,78.0,28.600699292150182,104.0,53.22280213091628
2017-11-06,1231,208411,4.655555555555556,2.371877414441101,22.64864864864865,5.942136371738368,64.46153846153847,19.121535924048423,209.5,75.5926583736807,279.3333333333333,137.4926260648993
2017-11-13,626,163333,3.239130434782609,2.1043583063579008,13.545454545454545,5.867687113856337,34.38461538461539,11.412128915786596,111.75,59.57925393960552,149.0,95.56498661469412
2017-11-20,1252,234051,4.167785234899329,2.2387756857991863,18.264705882352942,6.1801809583701255,51.75,10.583989480972349,155.25,76.5877764398471,207.0,124.01881577674682
